rule_id,item_keywords,accepted_in_plastic_only_bin,answer_title,chatbot_response,preparation_steps,redirect_if_not_accepted,escalation_trigger,category,confidence,source_url
P065,unknown item; not sure; unsure; mystery item; cannot tell; what bin,conditional,Check the 4-step plastics-only rule,"If you are unsure, only use this bin when the item is definitely plastic, empty, clean and dry.","Check the material label, bin signage and item condition.","If it is mixed material, dirty, wet, food-stained, e-waste, battery, tissue, paper, metal or glass, keep it out of this bin.",Ask facilities for unclear items.,General decision rule,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P066,reusable bottle; plastic reusable bottle; sports bottle; water tumbler; plastic tumbler,conditional,Conditional — reuse first,"Reusable plastic bottles and tumblers should be reused where possible. Recycle only if the item is broken, fully plastic, clean, dry and accepted by the site.","Remove metal, silicone or rubber parts where possible.","If mixed-material or still usable, reuse or donate instead of recycling.",Ask facilities for bulky or mixed reusable bottles.,Reusable items,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P067,silicone; rubber; silicone lid; rubber band; rubber glove,no,No — silicone and rubber are not accepted,Silicone and rubber items should not go into the plastics-only recycling bin.,,Use general waste unless a dedicated take-back programme exists.,,Non-plastic materials,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P068,plastic envelope; courier bag; mailing bag; poly mailer; delivery bag,conditional,Conditional — clean soft plastic only,"Courier bags and poly mailers are soft plastics. They should only go into this bin if clean, dry and accepted by your site.",Remove paper labels where practical. Empty completely.,"If dirty, sticky, wet, or lined with bubble/foil/paper that cannot be separated, use general waste.",Ask facilities whether poly mailers are accepted.,Soft plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P069,plastic tape; adhesive tape; scotch tape; packing tape; masking tape,no,No — tape should not go into the bin,Tape is not suitable for the plastics-only recycling bin.,,Remove tape from recyclable plastics where practical and place tape in general waste.,,Small/mixed plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P070,label sticker; sticker; price tag sticker; barcode sticker,no,No — loose stickers are not accepted,Loose stickers and labels are not suitable for the plastics-only recycling bin.,,Leave small labels on bottles if not easy to remove. Put loose stickers in general waste.,,Small/mixed plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P071,ice cream tub; butter tub; margarine tub; spread tub; plastic food tub,conditional,Conditional — only if clean and dry,"Plastic tubs for ice cream, butter or spreads can only go into the plastics-only bin if completely clean and dry.",Remove food residue. Rinse if oily/sticky. Dry before recycling.,"If oily, sticky or hard to clean, use general waste.",,Plastic food containers,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P072,egg carton; paper egg carton; cardboard egg tray,no,No — paper/cardboard egg cartons are not plastics-only,Paper or cardboard egg cartons do not belong in the plastics-only bin.,,"Use the paper/cardboard recycling stream if clean and dry, or general waste if dirty.",,Paper/cardboard,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P073,plastic egg tray; clear egg tray; egg plastic tray,yes,Yes — clean plastic egg trays are accepted,"Clean plastic egg trays can go into the plastics-only bin if empty, clean and dry.","Remove broken egg, food residue or paper labels where practical.","If contaminated with egg residue, clean first or use general waste.",,Plastic trays,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P074,plastic bottle with liquid; half full bottle; bottle with drink; bottle with tea; bottle with coffee,no,No — empty the liquid first,A plastic bottle with liquid inside should not go into the plastics-only bin.,,"Empty the liquid first, rinse if sticky, dry the bottle, then recycle if accepted.",Report repeated liquid contamination.,Liquids,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P075,plastic bag with receipts; plastic bag with paper; bag with receipt; bag with labels,conditional,Conditional — remove non-plastic contents first,"The plastic bag may only be recycled if it is clean, dry and accepted by your site. Receipts, paper and rubbish must be removed.",Empty the bag fully. Remove receipts and non-plastic items.,"If the bag is dirty or your site does not accept soft plastics, use general waste.",,Soft plastics,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P076,broken plastic; cracked plastic; damaged plastic container,conditional,Conditional — depends on item type and cleanliness,"A broken plastic container may be recyclable if it is rigid plastic packaging, clean, dry and safe to handle.","Make sure it is empty, clean and dry. Avoid sharp edges.","If it is sharp, bulky, mixed-material or not packaging, use general waste or ask facilities.",Report if sharp broken items create a safety risk.,Damaged plastic,Medium,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf
P077,plastic plant label; plant tag; small plastic tag,no,No — small tags are not accepted,Small plastic tags are difficult to sort and should not go into the plastics-only bin.,,Use general waste or reuse the tag.,,Small plastics,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P078,CD; DVD; disc; plastic disc,no,No — discs are not accepted,"CDs, DVDs and discs are not accepted in this plastics-only bin because they are not normal plastic packaging.",,"Use e-waste/media recycling if available, or general waste.",,Media,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P079,plastic packaging with paper; paper plastic packaging; mixed packaging; multi material packaging,conditional,Conditional — separate materials first,"Mixed paper-plastic packaging should not go into the plastics-only bin unless the plastic part can be separated, cleaned and is accepted.",Separate plastic from paper where practical. Recycle only the clean plastic portion if accepted.,"If materials cannot be separated, use general waste.",,Mixed materials,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
P080,compostable cup; compostable container; eco cup; bioplastic container,no,No — compostable packaging is not plastics-only recycling,Compostable cups and containers should not go into a plastics-only recycling stream.,,Use general waste unless a dedicated compostable packaging stream is provided.,Ask event organisers/facilities if they supplied compostable packaging.,Compostable packaging,https://www.nea.gov.sg/docs/default-source/our-services/waste-management/recycling-faqs.pdf,https://www.nea.gov.sg/media/news/news/index/new-bloobin-ai-chatbot-to-help-public-recycle-right
